"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"1950";"Nederland";"   35500";"     122";"     774";"      55";"       .";"       .";"       .";"       .";"       .";"       .";"      36";"       .";"       .";"       .";"   25050";"    2420";"    2730";"       .";"       ."
"1951";"Nederland";"   35500";"     118";"     802";"      55";"       .";"       .";"       .";"       .";"       .";"       .";"      41";"       .";"       .";"       .";"   25050";"    2430";"    2630";"       .";"       ."
"1952";"Nederland";"   35500";"     116";"     790";"      62";"       .";"       .";"       .";"       .";"       .";"       .";"      46";"       .";"       .";"       .";"   25130";"    2440";"    2580";"       .";"       ."
"1953";"Nederland";"   35500";"     117";"     808";"      63";"       .";"       .";"       .";"       .";"       .";"       .";"      53";"       .";"       .";"       .";"   25310";"    2450";"    2500";"       .";"       ."
"1954";"Nederland";"   35500";"     116";"     801";"      66";"       .";"       .";"       .";"       .";"       .";"       .";"      56";"       .";"       .";"       .";"   25310";"    2460";"    2460";"       .";"       ."
"1955";"Nederland";"   35500";"     114";"     808";"      71";"       .";"      36";"       .";"       .";"       .";"       .";"      65";"       .";"       .";"       .";"   25330";"    2450";"    2370";"       .";"       ."
"1956";"Nederland";"   35500";"     114";"     816";"      71";"       .";"      45";"       .";"       .";"       .";"       .";"      65";"       .";"       .";"       .";"   25320";"    2500";"    2290";"       .";"       ."
"1957";"Nederland";"   35500";"     113";"     812";"      77";"       .";"      58";"       .";"       .";"       .";"       .";"      67";"       .";"       .";"       .";"   25330";"    2490";"    2250";"       .";"       ."
"1958";"Nederland";"   36160";"     106";"     802";"      75";"       .";"      66";"       .";"       .";"       .";"       .";"      68";"       .";"       .";"       .";"   25310";"    2600";"    2740";"       .";"       ."
"1959";"Nederland";"   36160";"      99";"     817";"      74";"       .";"      67";"       .";"       .";"       .";"       .";"      73";"       .";"       .";"       .";"   25440";"    2640";"    2530";"       .";"       ."
